"00TKCA60M5C","TKC_A60_M5C"
"1PNRAF26470F7CC1IA","RA 2647 MMI270 8"" CHIMEI"
"1PNRBF26470F7CC41A","RB 2647 MMI270 8”CHI"
"1PNSJF26470F7CB410","SJ 2647  MMI270 8""CHI"
"1PNSO2647F77C10A","SO  2647 MMI 270  7""CHI 雙科"
"1PNSS2647F57C10A","SS 2647 MMI255A 7""CHI"
"1PNSS2647F77C10A","2647 MMI 270  7""CHI 潤東"
"1PNSSF26470F7CB410","SS 2647  MMI270 8""CHI"
"1PNST2147FB6H655","ST 2147 K7B_L HI I5W PNL"
"1PNST2647F57C10A","ST 2647 MMI255A 7""CHI"
"1PNST2647F57F10A","ST 2647 MMI255A 7""FL"
"1PNST2647F77C10A","ST 2647 MMI 270  7""CHI 雙盛"
"1PNSTF26470F7CC41A","ST 2647 MMI270 8"" CHIMEI"
"1PNSX3240AA7CC1IA","SX 3240  MMI270 8' 臥式二板合模機"
"1PNSX3240F7CC1IA","SX3240  MMI270 8"" CHIMEI"
"1PNSX3240O7CC1IA","SX 3240  MMI270 8"" 轉盤合模機"
"1PNSX3240VA7CC1IA","SX 3240  MMI270 8' 抱閘合模機"
"1PNSX3828FS6N500","順興 M6C 面板"
"1PNSXF32400F7CC41A","SX出口機3240  MMI270 8"" CHIMEI"
"1PNTB2647F77C10A","TB  2647 MMI 270  7""CHI 鄞創"
"1PNTBF26470F7CC41A","TB 2647 MMI270B 8”CHI"
"1PNTC264717CC1IA",""
"1PNTC316017AS1IA","TC 3160 "" SHARP TFT 英葡文"
"1PNTI2647F77C10A","TI 2647 MMI 270  7""CHI 通佳"
"1PNTI2647F7CC1IA","TI 2647 MMI270 8"" CHIMEI 通佳"
"1PNTIF26470F7CC41E","TI 2647 MMI270 8"" CHIMEI 通佳1A2B"
"1PNTIF26470F7CC42E","TI 2647 MMI270 8"" CHIMEI 通佳1A2"
"1PNTJ2647A57C10A","HT2647 MMI255 7""CHI"
"1PNTJ2647A57C10A_L","HT2647 MMI255 7""CHI"
"1PNTJ2647A7DA4IA","TJ 2647 MMI270 8.5""AUO"
"1PNTJ2647G78M1I2","TJ2647(E)8.4""COLOR USB"
"1PNTJ33600G7AS1I2","TJ3360 SHARP 10.4"" 270B  F+圖案 無LOGO"
"1PNTJ3360G7AS1I2","TJ3360 SHARP 10.4"" 270A_N F+圖案"
"1PNTJ3360G7AS1I2_2","TJ3360 SHARP 10.4"" 270A_N F+圖案"
"1PNTJ3360G7AS1I2_L","TJ3360 SHARP 10.4"" 270A_N F+圖案"
"1PNTJ3360G7BC422","TJ 3360 12.1"" 奇美 LED TFT  MMI270(圖案)"
"1PNTJ3360G7BC422_1","TJ 3360 12.1"" 奇美 LED TFT  MMI270(圖案)"
"1PNTJ3360G7BC422_2","TJ 3360 12.1"" 奇美 LED TFT  MMI270(圖案)"
"1PNTJF33602G7BC422","TJ 3360 12.1""CHI LED MMI270(無LOGO)"
"1PNTJF33602G7BC422_2","TJ 3360 12.1""CHI LED MMI270(無LOGO)"
"1PNTKC2138FJ6H605","立式機 MMI KJ32_L"
"1PNTKC2138FK6H605","立式機 K32_L面板"
"1PNTKC2138FS5H505","TKC 2138 S7  HI M5C LED PNL"
"1PNTKC2138FS6H505","TKC 2138 S7  HI M6C LED PNL"
"1PNTKC2647EA7CC1I0","TKC2647 MMI270 8"" 奇美"
"1PNTKF26470V7CC1IA","TKC2647 MMI270 8"""
"1PNTM2138FB6H655","TM K7B  HI M6W LED PNL立式機"
"1PNTM2138VK6H655","TM K32B  HI M6W LED PNL立式機"
"1PNTM2138VS5H505","TM S7  HI M5C LED PNL立式機"
"1PNTM2138VS6N505","TM S7  NY M6C LED PNL立式機"
"1PNTM2147DB6H655","TM 2147 K7_L HI I5W PNL"
"1PNTM2147DJ6H605","TM 2147 KJ32_L HI I5W PNL"
"1PNTM2147DK6H605","TM 2147 K32_L HI I5W PNL"
"1PNTM2147DK6H655","TM 2147 K32B_L HI I5W PNL"
"1PNTM2147EB6H605","TM E  2147 K7_L HI I5W PNL"
"1PNTM2147EB6H655","TM E  2147 K7B_L HI I5W PNL"
"1PNTM2147EK6H605","TM  K32_L HI I5W 英文 PNL F1-F6"
"1PNTM2147EK6H655","TM 2147 K32B_L HI I5W PNL英文"
"1PNTM2147ES5H505","TM S7  HI M5C LED PNL全英文"
"1PNTM2147FB6H605","TM 2147 K7_L HI I5W PNL"
"1PNTM2147FB6H655","TM 2147 K7B_L HI I5W PNL"
"1PNTM2147FK6H605","TM F1-F6  K32_L面板"
"1PNTM2147FK6H655","TM F1-F6  K32B_L面板"
"1PNTM2147FS5H505","TM S7  HI M5C LED PNL"
"1PNTM2147FS5H5I0","TM S7  HI M5C LED PNL"
"1PNTM2147FS5H5I5","TM S7  HI M5C LED PNL INT"
"1PNTM2147FS6H505","TM 2147 S7 HI M6C PNL"
"1PNTM2147FS6H5I5","TM 2147 M6C LED PNL iNet"
"1PNTM2147FS6N505","TM 2147 S7 NY  M6C PNL"
"1PNTM2147VJ6H605","TM KJ32_L HI I5W PNL 立式機"
"1PNTM2338457G10A","2338 MMI255 7""GD平板硫化機"
"1PNTM2338F57C10A","TM2338 MMI255 7"" 奇美"
"1PNTM2338F57G10A","2338_Q7M_SD面板 MMI255 7""GD"
"1PNTM2440558M100","TM2440 M8M 255 PNL 模溫控制器"
"1PNTM2440658M100","氣壓成型機F+中英文"
"1PNTM2440P58M100","TM2440 M8M 255 PNL 擠出機"
"1PNTM2440P7CC1I0","TM24408A MMI270 8""CHIMEI"
"1PNTM2440W58M100","TM2440 M8M  PNL油壓測試機"
"1PNTM2440Z7CC1I0","注吹機2440  MMI270 8"" CHIMEI"
"1PNTM2455F78M1IA","TM2455 MMI270 8.4""MITSUBISHI"
"1PNTM2455FS6N50A","TM2455 S7  NY M6C LED PNL"
"1PNTM2647158M10A","葡萄牙語 MMI255 8.4""MITSUBISHI"
"1PNTM2647457G10A","平板硫化機"
"1PNTM2647E57C10A","TM E 2647 MMI255A 7"" CHI"
"1PNTM2647E57F10A","TM E 2647 MMI255A 7""FL"
"1PNTM2647E58M10A","TM英文2647 MMI255 8.4""MITSUBISHI"
"1PNTM2647E77C10A","TM 2647 MMI 270  7""CHI 英文"
"1PNTM2647E7CC1IA","TM E 2647 MMI270 8"" FOXLINK"
"1PNTM2647E7CC1ID","TM E 2647 MMI270 8""  施耐得"
"1PNTM2647E7CF1IA","TM E 2647 MMI270 8"" FOXLINK"
"1PNTM2647F57C10A","TM 2647 MMI255A 7""CHI"
"1PNTM2647F57D10A","TM2647 MMI255 7""DATA IMAGE"
"1PNTM2647F57F10A","TM2647 MMI255A 7""FL"
"1PNTM2647F57G100","TM2647 MMI255 7""GD"
"1PNTM2647F57G103","TM2647 MMI255 7"" GD"
"1PNTM2647F57G10A","TM2647 MMI255 7""GD"
"1PNTM2647F58M100","TM2647 MMI255 8.4""MITSUBISHI"
"1PNTM2647F58M10A","TM2647 MMI255 8.4""MITSUBISHI"
"1PNTM2647F77C10A","TM 2647 MMI 270  7""CHI"
"1PNTM2647F78M1IA","TM2647 MMI270 8.4""MITSUBISHI"
"1PNTM2647F79O40A","弘訊新標準2647_V9_USB面板"
"1PNTM2647F7CC1I3","TM2647 MMI270 8"" CHIMEI"
"1PNTM2647F7CC1IA","TM 2647 MMI270 8"" CHIMEI"
"1PNTM2647F7CC1IA_1","TM 2647 MMI270 8"" CHIMEI"
"1PNTM2647F7CC1IB","TM 2647 MMI270 8"" CHIMEI"
"1PNTM2647F7CF1IA","TM 2647 MMI270 8"" FOXLINK"
"1PNTM2647F7DA10A","TM 2647 MMI270 8.5""AUO"
"1PNTM2647FS6H501","TM2647 S7  HI M6C LED PNL"
"1PNTM2647FS6H5I1","TM 2647 HI M6C PNL iNet"
"1PNTM2647FS6N50A","TM2647 S7  NY M6C LED PNL"
"1PNTM2647LS6H501","TM 2647 S7 HI M6C PNL吹瓶機"
"1PNTM2647O57C10A","TM2647 MMI255A 7""CHI"
"1PNTM2647O57F10A","TM2647 MMI255A 7""FL"
"1PNTM2647V57C10A","TM V 2647 MMI255 7""CHI 立式機"
"1PNTM2647V57D10A","TM V 2647 MMI255 7""DATA IMAGE"
"1PNTM2647V57F10A","TM V 2647 MMI255 7""FL"
"1PNTM2647V57G10A","TM V 2647 MMI255 7""GD"
"1PNTM2647V58M10A","TM立式2647 MMI255 8.4""MITSUBISHI"
"1PNTM2647V77C10A","TM 2647 MMI 270  7""CHI 立式機"
"1PNTM2647V7CC1IA","TM V2647 MMI270 8"" FOXLINK"
"1PNTM2647V7CF1IA","TM V2647 MMI270 8"" FOXLINK"
"1PNTM2647Y58M10A","注吹機2647 MMI255 8.4""MITSUBISHI"
"1PNTM2647Y7CC1IA","注吹機TM 2647 MMI270 8"" FOXLINK"
"1PNTM2647Y7CF1IA","注吹機TM 2647 MMI270 8"" FOXLINK"
"1PNTM2655F38M105","TM2655 MMI3386 8.4""MITSUBISHI TFT"
"1PNTM2655F38M1I5","TM 2655 M8C網路卡面板"
"1PNTM316017AS1IA","TR葡萄牙 3160 "" SHARP TFT"
"1PNTM316017AS1IB","TR葡萄牙 3160 10.4' SHARP TFT"
"1PNTM3160E7AS1IA","TM英文3160 "" SHARP TFT 2組網卡"
"1PNTM3160F5AS10A","TM3160 MMI255 10.4"""
"1PNTM3160F7AS10A","TM3160 "" SHARP TFT"
"1PNTM3160F7AS1I3","TM3160 270A_N 10.4""  TFT"
"1PNTM3160F7AS1IA","TM3160 "" SHARP TFT 2組網卡"
"1PNTM3160V7AS1IA","TM3160 "" SHARP TFT 2組網卡"
"1PNTM3255AA7AS1I5","兩板機3255 "" SHARP TFT"
"1PNTM3255FA7AS1I5","TM 3255 270_N ""  雙模座雙色機"
"1PNTM3255T5AS10A","TM 3255 255 "" 雙色機"
"1PNTM3255T7AS10A","TM 3255 270 "" 雙色機 此產品編號停用"
"1PNTM3255T7AS1I5","TM 3255 270_N "" 雙色機"
"1PNTM3255T7AS1IA","TM 3255 270_N "" 雙色機 此產品編號停用"
"1PNTM3255Y7AS1I5","注吹機3255 "" SHARP TFT"
"1PNTM3355DA7BC1IA","單架吹瓶機,MMI_270,12.1""(壁厚)"
"1PNTM3355F7BC1IA","TM 3355 MMI_270,12.1"" 1A1B"
"1PNTM3355F7BC1IB","MMI_270,12.1  急停鍵 2常閉"
"1PNTM3355GA7BC1I4","雙工位吹瓶機MMI_270 12.1"""
"1PNTM3355L7BC1I4","單架吹瓶機,MMI_270,12.1"""
"1PNTM3355L7BC1IA","單架吹瓶機,MMI_270,12.1"""
"1PNTM3355W7BC1I4","油壓機,MMI_270,12.1""2組網卡"
"1PNTMA26470GACO45A","Q8一體鋁殼面板"
"1PNTMA26480G7CO413","TM2648 MMI270  鋁殼 Q8+KEY+急停鍵  (平模"
"1PNTMA3347EDABC95E","單架壁厚吹瓶機控制器HMI3354面板"
"1PNTMA3347EDABC98E","單架壁厚吹瓶機控制器HMI3354面板"
"1PNTMA3347YCABC95E","雙架壁厚吹瓶機控制器HMI3354面板"
"1PNTMA33600GABC454","TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵  (平模)"
"1PNTMA3360GCABC45E","雙色機 TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵  (凸模)"
"1PNTMF24400P78M100","TM 2440 M8M MMI270 擠出機"
"1PNTMF26470777C41A","TM 2647 MMI 270  7""CHI 立式英文"
"1PNTMF26470977C41A","TM 2647 MMI270 7” CHI（伊朗文界面）"
"1PNTMF26470E77C41E","TM 2647 MMI 270  7""CHI 英文+1A2B"
"1PNTMF26470F7CC42A","TM 2647 MMI270B 8"" CHIMEI"
"1PNTMF26470O77C41A","TM 2647 MMI 270  7""CHI 白色"
"1PNTMF2647XX7CC41A","TM 2647 MMI 270  8""CHI 立式機無面膜"
"1PNTMF31600F7AT11A","TM3160 "" TOSHIBA TFT MMI 270"
"1PNTMF33550B7BC41A","TM 3355 12.1” 奇美  LED TFT  MMI270"
"1PNTMF33550F7BC41A","TM 3355 12.1"" 奇美 LED TFT  MMI270B_1"
"1PNTMF33550F7BC41D","TM 3355 12.1"" 奇美 LED TFT  MMI270B_1+施耐德急停?"
"1PNTMF33550F7BC42A","TM 3355 12.1"" 奇美 LED TFT  MMI270B"
"1PNTMF33550T7BC41A","TM 雙色機 3355 12.1"" 奇美 LED TFT  270B_1"
"1PNTMF33550T7BC41D","TM 雙色機 3355 12.1” 奇美LED TFT"
"1PNTMF33550T7BC42A","TM 雙色機 3355 12.1"" 奇美 LED TFT"
"1PNTMF33550T7BC42C","TM 雙色機 3355 12.1"" 奇美 LED TFT  270B"
"1PNTMF33550T7BC42E","TM 雙色機 3355 12.1"" 奇美 LED TFT  270B +1A2B"
"1PNTMF33550W7BC124","油?机 MMI_270 12.1""2?232、1?NET"
"1PNTMF3355AA7BC41A","TM 3355 12.1"" 奇美 LED TFT  MMI270B_1 兩板機"
"1PNTMF3355EA7BC41A","TM 3355 12.1"" 奇美 LED TFT  MMI270B_1 立式機"
"1PNTMF3355FD7BC41A","TM 3355 12.1"" 奇美 LED TFT  MMI270B_1 雙色立式機"
"1PNTMP2648F7CO10A","TM 2648 Q8 塑殼"
"1PNTMP2648F7EO1IA","TM2648 270 塑殼 8.4"""
"1PNTMP2648V7EO1IA","TM2648 270 塑殼 8.4""  TFT"
"1PNTMP2648Z7CO10A","2648 Q8塑殼 注吹機"
"1PNTMP33600Z7BC114","TM3360 270  塑殼12.1""住吹機"
"1PNTMP33600Z7BC414","TM3360 270  塑殼12.1""住吹機 LED"
"1PNTMP3360BC7BC734","TM3360 270 橡膠機 塑殼12.1""TOUCH SCREEN CHI"
"1PNTMP3360F7BA1I4","M12M塑殼面板"
"1PNTMP3360F7BC734","TM3360 270B_N 塑殼12.1""TOUCH SCREEN CHI"
"1PNTMP3360V7BC7I4","M2M觸摸屏面板 立式機"
"1PNTNF26470F79O41A","天達星 2647_V9_USB面板"
"1PNTR2147FS5H505","TR S7  HI M5C LED PNL"
"1PNTR2647158M10A","TR 葡萄牙語 MMI255 8.4""MITSUBISHI"
"1PNTR264717CC1IA","TR 2647 MMI270 8"" CHIMEI 葡萄牙語"
"1PNTR264717CC1IB","TR 2647 MMI270 8"" CHIMEI 葡萄牙語"
"1PNTR264717CF1IA","TR 2647 MMI270 8"" FOXLINK  葡萄牙語"
"1PNTR2647F58M10A","TR 2647 MMI255 8.4""MITSUBISHI"
"1PNTR2647F7CC1IA","TR 2647 MMI270 8"" CHIMEI"
"1PNTR2647F7CC1IB","TR 2647 MMI270 8"" CHIMEI"
"1PNTR2647F7CF1IA","TR 2647 MMI270 8"" FOXLINK"
"1PNTR3160F7AS1IA","TR 3160 "" SHARP TFT"
"1PNTR3160F7AS1IB","TR 3160 10.4' SHARP TFT"
"1PNTRF2647017CC41E","TR 2647 MMI270 8"" CHIMEI+KEY 英葡文 1A2B"
"1PNTRF26470F7CC41C","TR 2647 MMI270 8"" CHIMEI+KEY"
"1PNTRF26470F7CC41E","TR 2647 MMI270 8"" CHIMEI 1A2B"
"1PNTRF3355017BC41B","TR 英葡文 3355 12.1"" 奇美 LED TFT  MMI270"
"1PNTRF3355017BC42E","TR英葡文 3355 12.1"" 奇美 LED TFT  MMI270 1A2B"
"1PNTRF33550F7BC41B","TR 3355 12.1"" 奇美 LED TFT  MMI270"
"1PNTRF33550F7BC42E","TR 3355 12.1"" 奇美 LED TFT  MMI270 1A2B"
"1PNTSF3355RC7BC41A","台塑3355 12.1"" 奇美 LED TFT  MMI270B_1英俄"
"1PNTWA26480G7CO413","TM2648 MMI270  鋁殼 Q8+KEY+急停鍵  (平模)(無LOGO)"
"1PNTWA26480GACO453","TW2648 HMI3354M1 鋁殼 Q8+KEY+急停鍵  (平模)"
"1PNTWA26480GACO45E","TW2648 HMI3354M2 鋁殼 Q8+KEY+1A2B  (平模)"
"1PNTWA26480ZACO45E","TW2648 HMI3354M2 鋁殼Q8+KEY+急停鍵"
"1PNTWA2648BCAC045G","TW2648 HMI3354M1 鋁殼 Q8+KEY+急停鍵+安全門開關  (橡膠機)"
"1PNTWA33600GABC454","TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵  (平模)  無LOLG"
"1PNTWA33600GABC45E","TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵  (平模)  無LOLG"
"1PNTWA33600GABC954","TM3360 鋁殼 HMI3354M1  12.1"" PNL觸摸屏"
"1PNTWA33600GABC95E","TM3360 鋁殼 HMI3354 M1 12.1"" PNL"
"1PNTWA33600GABC95J","TM3360 鋁殼 HMI3354 M1 12.1"" PNL"
"1PNTWA3360BCABC45E","TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵（橡膠機）"
"1PNTWA3360BCABC45F","TM3360 鋁殼 HMI3354 12.1"" PNL+KEY+急停鍵+安全門開關（橡膠機)"
"1PNTWA3360EAABC45E","TM3360 鋁殼 HMI3354M2  12.1"" PNL立式機"
"1PNTWA3360EAABC95E","TM3360 鋁殼 HMI3354M2  12.1"" PNL觸摸屏 立式機"
"1PNTWA3360GCABC95E","TM3360 鋁殼 HMI3354 M1 12.1"" PNL"
"1PNTWA3360ICABC454","TM3360 鋁殼 HMI3354 M1 12.1"" PNL+KEY+急停鍵（二板機）"
"1PNTWA3360ICABC95E","TM3360 鋁殼 HMI3354 12.1"" PNL"
"1PNTWA3360OLABC95E","TM3360 鋁殼 HMI3354M2 12.1”儲料式吹瓶機 觸摸屏"
"1PNTWA3360VCABC95E","TM3360 鋁殼 HMI3354 M2 12.1”PNL"
"1PNTWA3360XCABC45E","TM3360 鋁殼 HMI3354M2  12.1"" PNL 吹瓶機"
"1PNTWA3360XCABC95E","TM3360 鋁殼 HMI3354M2  12.1"" PNL 吹瓶機 觸摸屏"
"1PNTXF24400O7CC410","同鑫 TM2647 MMI270 8"" CHIMEI內銷"
"1PNTXF24400Z7CC410","同鑫 TM2647 MMI270 8"" CHIMEI（外銷）"
"1PNUJ2147FB6H655","UJ 2147 K7B_L HI I5W PNL"
"1PNUJ2147FK6H605","UJ 2147 K32B_L HI I5W PNL"
"1PNUJ2147FS5H505","UJ 2147  M5C LED PNL"
"1PNUJ2147FS6N505","UJ 2147  M6C LED PNL"
"1PNUY2647V7CC1IA","UY2647 MMI270 8"" CHI"
"1PNUYF26470V77C10A","UY 2647 MMI 270  7""CHI 立式機"
"1PNWAF33550B7BC42A","威力士 3355 12.1”奇美 LED TFT MMI"
"1PNWAF33550F7BC41A","威力士 3355 12.1"" 奇美 LED TFT  MMI270"
"1PNWE2440P7CC1I0","注吹機2440  MMI270 8"" CHIMEI"
"1PNWEF24400ZACC450","WE 2440 Q8M HMI3354"
"1PNWQF26470F7CC41A","WQ 2647 MMI270 8”"
"1PNWTF26470Y7CC41A","威騰注吹面板"
"1PNXCF26470F77C41A","湘通 2647 MMI 270  7""CHI"
"1PNXH3160F7AS1IA","XH 3160 "" SHARP TFT"
"1PNXHF26470F7CC41A","XH 2647 MMI270 8"" CHIMEI"
"1PNXHF26470O7CC41A","XH 2647 MMI270 8"" CHIMEI"
"1PNXHF33550F7BC41A","新海太 3355 12.1"" 奇美 LED TFT  MMI270"
"1PNXHF3355ZC7BC41A","新海太 3355 12.1"" 奇美 LED TFT  MMI270 日英文"
"1PNXSF2647EA77C41A","XS 2647 MMI 270  7""CHI"
"1PNXX2647F77C10A","XX 2647 MMI 270  7""CHI 三順（雄信）"
"1PNXX2647F77C10C","XX 2647 MMI 270  7""CHI 三順（雄信）"
"1PNXX2647F7CC1IC","雄信（三順） 2647 MMI270 8"""
"1PNXXF33550F7BC41C","XX 3355 12.1"" 奇美 LED TFT  MMI270"
"1PNXXF33550O7BC41C","XX 3355 12.1"" 奇美 LED TFT  MMI270 新"
"1PNYL2647F57C10A","YL 2647 MMI255A 7""CHI"
"1PNYL2647F7CC1IA","YL 2647 MMI270 8"" CHIMEI"
"1PNYL2647F7CF1IA","YL2647 MMI270 8"" FOXLINK"
"1PNYL2647XA7CC1IA","YL 2647 MMI270 8"" CHIMEI(西班牙文)"
"1PNYL3160F7AS1IA","YL 3160 PXA270 M10M"
"1PNYLF26470F77C41A","YL 2647 MMI 270  7""CHI 亞力士"
"1PNYNF26470F77C41A","YN 2647 MMI 270  7""CHI 優諾姆"
"1PNYQF26470F77C41A","TM 2647 MMI 270  7""CHI 英文"
"1PNYQF26470F7CC41A","TM 2647 MMI270 8"" CHIMEI"
"1PNYRF26470F7CC41A","YR 2647 MMI270 8”CHI"
"1PNYU2647F58M10A","YU2647 MMI255 8.4""MITSUBISHI"
"1PNYU3160F5AS10A","YU3160 MMI255 10.4"""
"1PNYU3160F7AS1IA","YU 3160 PXA270 M10M"
"1PNZCF26470F77C41A","震海譽 2647 MMI 270  7""CHI"
"1PNZCF26470F7CC41A","合創新震海譽Q8M專用面板"
"1PNZEF2647EA7CC41A","ZE 2647 MMI270 8"" CHIMEI"
"1PNZF2647F57C10A","ZF 2647 MMI255A 7""CHI"
"1PNZF2647F77C10A","ZF 2647 MMI270 7""CHI 震飛"
"1PNZF2647F7CC1IA","ZF 2647 MMI270 8""震飛"
"1PNZFF26470B7CC41A","ZF 2647 MMI270 8"" CHIMEI 英文"
"1PNZFF33550F7BC41A","ZF 3355 12.1"" 奇美 LED TFT  MMI270B_1"
"1PNZQA33600ZABC45E","自強3360 鋁殼 HMI3354  12.1"" PNL"
"1PNZT2147FJ6H605","ZT KJ32_L HI I5W PNL"
"1PNZT2147FS5H505","ZT S7  HI M5C LED PNL"
"1PNZT2147FS6H505","ZT 2147 S7 HI M6C PNL"
"1PNZT2647F57C10B","ZT 2647 MMI255A 7""CHI"
"1PNZT2647F57D10B","ZT 2647 MMI255 7""DATA IMAGE"
"1PNZT2647F57F10B","ZT 2647 MMI255A 7""FL"
"1PNZT2647F57G10B","ZT 2647 MMI255 7""GD"
"1PNZT2647F58M10B","ZT 2647 MMI255 8.4""MITSUBISHI"
"1PNZT2647F77C10B","ZT 2647 MMI 270  7""CHI"
"1PNZT2647F7CC1IB","ZT 2647 MMI270 8"" CHIMEI"
"1PNZT2647F7CF1IB","ZT 2647 MMI270 8"" FOXLINK"
"1PNZT2647FS6H501","ZT2647 S7  HI M6C LED PNL"
"1PNZT2647FS6H50B","ZT2647 S7  HI M6C LED PNL"
"1PNZT2647FS6N50B","ZT2647 S7  NY  M6C LED PNL"
"1PNZT2647FS6N5IB","ZT2647 S7  NY  M6C LED PNL INT"
"1PNZT2655F38M1I5","ZT 2655 M8C網路卡面板"
"1PNZT3160F7AS10B","ZT 3160 "" SHARP TFT"
"1PNZT3160F7AS1IB","ZT 3160 "" SHARP TFT 270A_N"
"1PNZT3355F7BC1IB","MMI_270,12.1""2組網卡"
"1PNZT3355F7BC4IB","ZT MMI_270,12.1"" LED"
"1PNZTF26470177C41B","TM2647 MMI270B 7” 葡萄牙文"
"1PNZTF33550F7BC42B","ZT MMI_270,12.1"" LED 2組COM"
"1PUASA26480NACO45","AS 2648鋁殼  HMI3354 8"""
"1PUTMA33600GTBC90","TM3360鋁殼TM6616P 12.1 ""TOUCH,上 電容觸摸屏"
"1PUTMA33600NABC45","TM3360 鋁殼 HMI3354 12.1"" PNL"
"1PUTMA3360GHBC40","TM3360鋁殼HMI270  12.1""非TOUCH,上"
"1PUTMA3360GTBC80","TM3360鋁殼TM6616P 12.1""TOUCH,上"
"1PUTWA26480NACO45","TM 2648鋁殼  HMI3354 8"""
"1PUTWA33600NABC45","3360 鋁殼 HMI3354 12.1"""
"1PUTWA33600NABC95","3360 鋁殼 HMI3354M2 12.1""TOUCH SCREEN 電容式 NO LOGO"
"1PWR_100_24","電源供應器 S-100-24"
"1PWR_100_48","100W 48V 電源"
"1PWR_120_24_WDR","WDR-120-24"
"1PWR_150_24","150W24V(AC220V)"
"1PWR_150_24_1","150W24V(AC110V)+1L"
"1PWR_150_24A2","電源器"
"1PWR_150_24A3","150W24V(AC220V)3S+1L"
"1PWR_150_24B2H","電源器"
"1PWR_150_A1","150W24V(AC220V)+1L"
"1PWR_150_A1_1","150W24V(AC110V)+1L"
"1PWR_150_B1H","電源器"
"1PWR_150_B2H_1","SYSTEM POWER (AC110V"
"1PWR_AD155B","AD155B"
"1PWR_CPPX150_A1","ABB CP_PX 24/6.5A(25V)+1L"
"1PWR_PLA300F_24","COSE 300W"
"1PWR_PLA300F_24A3","300w"
"1PWR_PLA300F_24B","300w"
"1PWR_PLA300FHT_24A1","300W 24V +1L"
"1PWR_PLA300FHT_24A3","300W 24V 3S+1L"
"1PWR_PLA300FHT_24B","COSE 300W"
"1PWR_PLA600F_24","PLA600F_24"
"1PWR_PLA600F_24A3","600W 24V 3S+1L"
"1PWR_PLA600F_24B","Cosel 600W電源器"
"1PWR_PLA600FHT_24A3","600W 24V 3S+1L HT"
"1PWR_PLA600FHT_24B","Cosel 600W電源器"
"1PWR_PLA600FHT_24B3","PLA600F_24"
"1PWR_PMT150_24","台達PMT_24V150W2AA（25V）"
"1PWR_PMT150_A1","台達PMT_24V150W2AA（25V）+1L"
"1PWR_RS100_48","電源供應器 S-RS100F-48"
"1PWR_RS150_24","RS 150W24V(AC220V)"
"1PWR_RS150_24_1","RS 150W24V(AC110V)"
"1PWR_RS150_24A3","RS150W24V(AC220V)3S+1L"
"1PWR_RS150_A1","RS 150W24V(AC220V)+1L"
"1PWR_RS150_A1_1","RS 150W24V(AC110V)+1L"
"1PWR_RS150_A1L","RS 150W24V(AC220V)  +L 6M"
"1PWR_RS150_A1XL","RS 150W24V(AC220V)  +L 10M"
"1PWR_RS150_A3","RS150W24V(AC220V)3S+1L"
"1PWR_RS150_B2H_1","SYSTEM POWER (AC110V"
"1PWR_RS150HT_24A3","RS150W24V(AC220V)3S+1L"
"1PWR_RS150HT_24A3_1","RS150W24V(AC110V)3S+1L HT 用"
"1PWR_RS150HT_A1_1","RS 150W24V(AC110V)+1L"
"1PWR_RS150HT_B2H_1","SYSTEM POWER (AC110V"
"1PWR_SW240_24","SW240_24"
"1PWR_SW240_24A3","電源器"
"1PWR_SW240_24B","SPW 240W 24V"
"1PWR_SW240HT_24A1","SW 240W HT用+1L"
"1PWR_SW240HT_24A3","SW 240W HT用"
"1PWR_SW350_24","電源供應器 S-350-24"
"1PWR_SW350_24A1","350W 24V +1L"
"1PWR_SW350_24A1L","350W 24V +1L 6M"
"1PWR_SW350_24A3","350w電源器"
"1PWR_SW350_24B","電源器"
"1PWR_SW350_24B1","SYS.POWER(220V)1條線"
"1PWR_SW350_24B3","SYS.POWER(220V)3條線"
"1PWR_SW350_A1","此產品編號停用"
"1PWR_SW350_A1B2","電源供應器 S-350-24"
"1PWR_SW350_A1L","SW350W 電源線10M"
"1PWR_SW500A_24","3PSP_SW_600_24"
"1PWR_SW500A_24A3","600W 24V 3S+1L"
"1PWR_SW500A_24B","SWP-600-24"
"1PWR_SW500AHT_24B","600W 24V 3S+1L 海天USE"
"1RACK_S600_4P","RACK 4P"
"1RACK_S600_5P","RACK 5P"
"1RACK_S600_6P","RACK 6P"
"1RACK_S600_7","RACK 7"
"1RACK_S700_8P","RACK 8"
"1RACK_S700_9P","RACK9"
"1SET096LPARTS","96L配件組合"
"1SET250LPARTS","250L配件組合"
"1SHTEST","全懋油壓測試台"
"1SSSH_20B","新調模電眼"
"1T382211_350_2_LK","350_2+電眼"
"1VMDLCD1701112_1","壓克力Q7面板用NEW"
"1VMDLCD1891432","ARCYCLE 189*143*2T"
"1VMDLCD2091292","209*129*2T V9"
"1VMDLCD2802102","DIP ARCYCLE 280*210*2"
"1VMDLCD32AAK1B","MR-200 155*110*2mm"
"1VMDLCD33_AOAK1","MR-200 2*262*199 T=2.0mm"
